Feature,UsageCount
WBC,168
INR,168
lods,120
BILIRUBIN,120
is_male,96
ALBUMIN,96
SpO2,96
LACTATE,96
PTT,72
PaCO2,72
HEMOGLOBIN,48
race_white,48
DiasBP,48
qsofa_gcs_score,24
race_hispanic,0
