Feature,UsageCount
is_male,135
lods,135
ANION GAP,120
LACTATE,120
DiasBP,96
ALBUMIN,93
elixhauser_hospital,78
CHLORIDE,75
SpO2,72
BANDS,69
INR,69
qsofa_resprate_score,51
HEMOGLOBIN,48
qsofa_sysbp_score,30
HeartRate,6
