Feature,UsageCount
LACTATE,204
INR,141
BILIRUBIN,141
ALBUMIN,123
ANION GAP,102
SpO2,93
PaCO2,87
lods,87
DiasBP,81
RespRate,81
qsofa,78
CREATININE,69
PTT,69
race_white,48
BANDS,39
