Feature,UsageCount
age,845
qsofa_resprate_score,484
SpO2,468
PTT,426
HEMATOCRIT,420
INR,404
SODIUM,397
vent,382
HEMOGLOBIN,368
LACTATE,364
height,364
WBC,321
CHLORIDE,310
qsofa_gcs_score,276
race_hispanic,19
