Feature,UsageCount
ANION GAP,142
lods,138
LACTATE,133
BILIRUBIN,107
INR,104
sofa,103
CHLORIDE,99
weight,91
ALBUMIN,90
PaCO2,85
sirs,84
SpO2,81
Glucose,56
PT,27
GLUCOSE,26
