Feature,UsageCount
HEMOGLOBIN,152
HEMATOCRIT,141
LACTATE,137
WBC,135
PTT,116
CHLORIDE,112
height,100
qsofa_gcs_score,91
SpO2,75
age,73
INR,73
SODIUM,70
vent,68
qsofa_resprate_score,30
race_hispanic,1
