Feature,UsageCount
age,130
WBC,126
PTT,122
qsofa_resprate_score,113
height,110
INR,107
HEMATOCRIT,103
CHLORIDE,103
HEMOGLOBIN,99
LACTATE,82
qsofa_gcs_score,77
SpO2,70
vent,65
SODIUM,47
race_hispanic,0
