Feature,UsageCount
BILIRUBIN,339
weight,285
age,243
LACTATE,219
SODIUM,216
WBC,214
INR,214
qsofa_gcs_score,190
blood_culture_positive,172
lods,171
qsofa_sysbp_score,149
DiasBP,147
PaCO2,101
PT,96
race_hispanic,0
