Feature,UsageCount
sofa,226
elixhauser_hospital,195
CREATININE,132
PT,126
qsofa_sysbp_score,111
qsofa_resprate_score,99
RespRate,97
BILIRUBIN,76
SysBP,75
BANDS,72
TempC,64
Glucose,62
LACTATE,57
DiasBP,53
race_hispanic,11
